issue_key,issue_type,priority,has_priority,component_present,summary_length,summary_word_count,description_length,description_word_count,created_year,created_month,created_dayofweek,created_hour,resolution_time_days,delay_threshold_days,is_delayed
SRCTREEWIN-13934,Bug,High,1,1,31,5,169,7,2022,10,0,17,0.3486,305.2055555555556,0
SRCTREEWIN-13933,Bug,Medium,1,1,23,4,354,40,2022,10,6,12,0.5528,305.2055555555556,0
SRCTREEWIN-13932,Bug,Low,1,1,40,7,250,14,2022,10,5,15,0.6729,305.2055555555556,0
SRCTREEWIN-13931,Bug,Highest,1,1,67,10,758,109,2022,10,5,5,1.0681,305.2055555555556,0
SRCTREEWIN-13929,Bug,High,1,1,18,2,371,35,2022,10,4,9,0.0049,305.2055555555556,0
SRCTREEWIN-13928,Bug,High,1,1,25,4,169,7,2022,10,3,21,0.2549,305.2055555555556,0
SRCTREEWIN-13926,Bug,Highest,1,1,33,6,1173,160,2022,10,3,16,0.4278,305.2055555555556,0
SRCTREEWIN-13925,Bug,High,1,1,33,6,169,7,2022,10,3,15,0.5076,305.2055555555556,0
SRCTREEWIN-13924,Bug,Low,1,1,77,13,144,24,2022,10,1,10,20.7611,305.2055555555556,0
SRCTREEWIN-13918,Bug,High,1,1,50,7,257,12,2022,10,3,8,0.0042,305.2055555555556,0
SRCTREEWIN-13917,Bug,Medium,1,1,35,6,228,17,2022,10,1,18,0.4757,305.2055555555556,0
SRCTREEWIN-13915,Bug,Medium,1,1,28,4,545,68,2022,10,0,22,7.6368,305.2055555555556,0
SRCTREEWIN-13913,Bug,Highest,1,1,41,7,512,58,2022,10,4,12,4.9799,305.2055555555556,0
SRCTREEWIN-13912,Bug,Medium,1,1,65,10,321,59,2022,10,3,19,19.7243,305.2055555555556,0
SRCTREEWIN-13910,Bug,Highest,1,1,48,6,518,68,2022,10,0,8,177.159,305.2055555555556,0
SRCTREEWIN-13909,Bug,High,1,1,43,7,243,22,2022,9,3,14,19.8618,305.2055555555556,0
SRCTREEWIN-13908,Bug,Low,1,1,40,6,916,61,2022,9,2,10,97.7465,305.2055555555556,0
SRCTREEWIN-13907,Bug,Highest,1,1,43,8,684,58,2022,9,2,7,8.1,305.2055555555556,0
SRCTREEWIN-13904,Bug,High,1,1,29,4,856,97,2022,9,4,11,25.9639,305.2055555555556,0
SRCTREEWIN-13902,Bug,High,1,1,58,10,819,84,2022,9,1,6,2.2201,305.2055555555556,0
SRCTREEWIN-13896,Bug,Medium,1,1,42,8,170,32,2022,8,3,16,62.766,305.2055555555556,0
SRCTREEWIN-13894,Bug,Low,1,1,24,4,3931,166,2022,8,2,13,284.7528,305.2055555555556,0
SRCTREEWIN-13891,Bug,Highest,1,1,17,3,1743,212,2022,8,0,20,238.7035,305.2055555555556,0
SRCTREEWIN-13890,Bug,Low,1,1,24,3,93,17,2022,8,0,14,206.5868,305.2055555555556,0
SRCTREEWIN-13885,Bug,High,1,1,86,12,285,44,2022,8,0,12,241.9132,305.2055555555556,0
SRCTREEWIN-13884,Bug,Medium,1,1,43,5,229,31,2022,8,0,10,60.3222,305.2055555555556,0
SRCTREEWIN-13875,Bug,Low,1,1,69,9,480,66,2022,7,0,23,260.3007,305.2055555555556,0
SRCTREEWIN-13873,Bug,Low,1,1,69,9,480,66,2022,7,4,14,3.8201,305.2055555555556,0
SRCTREEWIN-13869,Bug,Highest,1,1,27,4,216,36,2022,6,2,2,142.3681,305.2055555555556,0
SRCTREEWIN-13865,Bug,Low,1,1,66,11,297,48,2022,6,2,11,0.8,305.2055555555556,0
SRCTREEWIN-13862,Suggestion,Unknown,0,1,44,8,338,67,2022,6,2,17,121.0285,305.2055555555556,0
SRCTREEWIN-13861,Suggestion,Unknown,0,1,26,4,363,64,2022,6,2,17,121.0299,305.2055555555556,0
SRCTREEWIN-13857,Bug,Low,1,1,51,9,223,30,2022,6,1,14,124.5812,305.2055555555556,0
SRCTREEWIN-13854,Suggestion,Unknown,0,1,60,9,794,124,2022,5,2,4,286.0785,305.2055555555556,0
SRCTREEWIN-13852,Bug,Low,1,1,31,4,1316,93,2022,5,4,19,228.3896,305.2055555555556,0
SRCTREEWIN-13848,Bug,Low,1,1,22,3,470,52,2022,5,1,12,0.916,305.2055555555556,0
SRCTREEWIN-13846,Bug,Low,1,1,36,2,375,52,2022,5,4,8,17.8486,305.2055555555556,0
